DATE,PCU325311325311
1990-01-01,114.4
1990-02-01,120.1
1990-03-01,119.6
1990-04-01,119.1
1990-05-01,115.8
1990-06-01,112.4
1990-07-01,113.1
1990-08-01,115.0
1990-09-01,121.4
1990-10-01,127.1
1990-11-01,129.9
1990-12-01,130.5
1991-01-01,131.3
1991-02-01,131.4
1991-03-01,130.5
1991-04-01,128.3
1991-05-01,126.0
1991-06-01,123.6
1991-07-01,123.1
1991-08-01,124.3
1991-09-01,123.9
1991-10-01,125.0
1991-11-01,123.6
1991-12-01,124.7
1992-01-01,123.6
1992-02-01,122.9
1992-03-01,122.1
1992-04-01,122.0
1992-05-01,123.4
1992-06-01,123.7
1992-07-01,121.2
1992-08-01,118.5
1992-09-01,119.2
1992-10-01,121.8
1992-11-01,121.3
1992-12-01,121.1
1993-01-01,122.3
1993-02-01,124.2
1993-03-01,125.5
1993-04-01,125.6
1993-05-01,125.0
1993-06-01,123.1
1993-07-01,121.6
1993-08-01,118.8
1993-09-01,118.9
1993-10-01,119.5
1993-11-01,128.7
1993-12-01,121.9
1994-01-01,123.6
1994-02-01,126.8
1994-03-01,129.1
1994-04-01,133.9
1994-05-01,136.8
1994-06-01,135.7
1994-07-01,136.9
1994-08-01,138.3
1994-09-01,138.2
1994-10-01,143.5
1994-11-01,147.8
1994-12-01,148.3
1995-01-01,155.8
1995-02-01,161.2
1995-03-01,165.3
1995-04-01,167.2
1995-05-01,166.6
1995-06-01,164.3
1995-07-01,157.3
1995-08-01,148.5
1995-09-01,147.1
1995-10-01,147.8
1995-11-01,152.4
1995-12-01,156.8
1996-01-01,161.8
1996-02-01,162.4
1996-03-01,165.8
1996-04-01,164.9
1996-05-01,162.3
1996-06-01,156.3
1996-07-01,151.5
1996-08-01,149.9
1996-09-01,150.5
1996-10-01,157.8
1996-11-01,159.8
1996-12-01,165.8
1997-01-01,167.6
1997-02-01,169.8
1997-03-01,170.5
1997-04-01,170.4
1997-05-01,168.3
1997-06-01,163.1
1997-07-01,158.0
1997-08-01,157.3
1997-09-01,156.1
1997-10-01,151.5
1997-11-01,148.8
1997-12-01,144.0
1998-01-01,142.1
1998-02-01,140.1
1998-03-01,139.9
1998-04-01,136.8
