DATE,WPUSI024011
1990-01-01,122.3
1990-02-01,122.4
1990-03-01,122.8
1990-04-01,123.2
1990-05-01,123.2
1990-06-01,123.3
1990-07-01,123.3
1990-08-01,124.3
1990-09-01,124.5
1990-10-01,124.5
1990-11-01,125.3
1990-12-01,125.5
1991-01-01,125.8
1991-02-01,126.7
1991-03-01,127.1
1991-04-01,127.2
1991-05-01,127.3
1991-06-01,127.6
1991-07-01,127.7
1991-08-01,128.6
1991-09-01,128.9
1991-10-01,129.4
1991-11-01,130.9
1991-12-01,130.7
1992-01-01,131.0
1992-02-01,131.5
1992-03-01,131.6
1992-04-01,131.8
1992-05-01,131.9
1992-06-01,132.0
1992-07-01,131.9
1992-08-01,132.2
1992-09-01,133.0
1992-10-01,133.4
1992-11-01,133.6
1992-12-01,133.8
1993-01-01,134.0
1993-02-01,134.5
1993-03-01,134.7
1993-04-01,135.0
1993-05-01,135.2
1993-06-01,135.3
1993-07-01,135.3
1993-08-01,135.5
1993-09-01,136.5
1993-10-01,137.0
1993-11-01,137.2
1993-12-01,137.8
1994-01-01,138.1
1994-02-01,138.6
1994-03-01,138.6
1994-04-01,138.7
1994-05-01,138.9
1994-06-01,139.0
1994-07-01,139.2
1994-08-01,139.3
1994-09-01,140.1
1994-10-01,141.1
1994-11-01,141.3
1994-12-01,142.0
1995-01-01,143.6
1995-02-01,143.7
1995-03-01,143.9
1995-04-01,144.4
1995-05-01,144.6
1995-06-01,144.7
1995-07-01,144.8
1995-08-01,145.2
1995-09-01,145.7
1995-10-01,146.6
1995-11-01,147.9
1995-12-01,147.9
1996-01-01,148.4
1996-02-01,148.7
1996-03-01,149.0
1996-04-01,149.7
1996-05-01,149.9
1996-06-01,149.9
1996-07-01,150.4
1996-08-01,150.9
1996-09-01,151.2
1996-10-01,151.7
1996-11-01,152.1
1996-12-01,152.1
1997-01-01,152.5
1997-02-01,152.6
1997-03-01,153.0
1997-04-01,153.3
1997-05-01,153.5
1997-06-01,153.2
1997-07-01,153.3
1997-08-01,153.6
1997-09-01,153.9
1997-10-01,154.4
1997-11-01,154.5
1997-12-01,154.5
1998-01-01,154.6
1998-02-01,154.8
1998-03-01,155.3
1998-04-01,155.6
1998-05-01,155.8
1998-06-01,155.8
1998-07-01,155.9
1998-08-01,156.4
1998-09-01,156.6
1998-10-01,157.2
1998-11-01,157.0
1998-12-01,157.0
1999-01-01,157.5
1999-02-01,157.6
1999-03-01,157.8
1999-04-01,158.4
1999-05-01,158.7
1999-06-01,158.5
1999-07-01,158.6
1999-08-01,158.6
1999-09-01,159.0
1999-10-01,159.1
1999-11-01,159.4
1999-12-01,159.4
2000-01-01,159.6
2000-02-01,159.7
2000-03-01,159.9
2000-04-01,160.3
2000-05-01,160.5
2000-06-01,160.4
2000-07-01,160.4
2000-08-01,160.7
2000-09-01,161.0
2000-10-01,161.2
2000-11-01,161.4
2000-12-01,161.4
2001-01-01,161.6
2001-02-01,162.1
2001-03-01,162.3
2001-04-01,162.6
2001-05-01,163.0
2001-06-01,162.9
2001-07-01,163.1
2001-08-01,163.2
2001-09-01,163.5
2001-10-01,163.9
2001-11-01,164.1
2001-12-01,163.8
2002-01-01,164.2
2002-02-01,164.2
2002-03-01,164.7
2002-04-01,164.7
2002-05-01,164.7
2002-06-01,164.5
2002-07-01,164.8
2002-08-01,164.9
2002-09-01,165.2
2002-10-01,165.5
2002-11-01,165.7
2002-12-01,165.6
2003-01-01,165.9
2003-02-01,165.9
2003-03-01,166.0
2003-04-01,166.2
2003-05-01,166.2
2003-06-01,166.2
2003-07-01,166.5
2003-08-01,168.0
2003-09-01,168.1
2003-10-01,168.1
2003-11-01,168.2
2003-12-01,168.2
2004-01-01,168.7
2004-02-01,168.8
2004-03-01,170.6
2004-04-01,170.5
2004-05-01,171.3
2004-06-01,171.7
2004-07-01,172.5
2004-08-01,172.4
2004-09-01,173.7
2004-10-01,175.0
2004-11-01,176.4
2004-12-01,177.2
2005-01-01,178.8
2005-02-01,180.2
2005-03-01,180.2
2005-04-01,180.4
2005-05-01,181.5
2005-06-01,181.1
2005-07-01,182.0
2005-08-01,182.1
2005-09-01,182.4
2005-10-01,181.6
2005-11-01,182.8
2005-12-01,182.9
2006-01-01,183.7
2006-02-01,184.2
2006-03-01,184.4
2006-04-01,184.7
2006-05-01,186.0
2006-06-01,186.1
2006-07-01,186.8
2006-08-01,186.4
2006-09-01,186.4
2006-10-01,187.0
2006-11-01,188.3
2006-12-01,188.3
2007-01-01,189.3
2007-02-01,189.4
2007-03-01,190.5
2007-04-01,190.3
2007-05-01,190.3
2007-06-01,190.5
2007-07-01,190.9
2007-08-01,190.6
2007-09-01,190.9
2007-10-01,191.7
2007-11-01,195.9
2007-12-01,194.7
2008-01-01,195.4
2008-02-01,195.5
2008-03-01,195.6
2008-04-01,196.8
2008-05-01,199.5
2008-06-01,200.4
2008-07-01,202.0
2008-08-01,202.6
2008-09-01,204.7
2008-10-01,205.7
2008-11-01,208.1
2008-12-01,207.9
2009-01-01,207.6
2009-02-01,207.7
2009-03-01,208.2
2009-04-01,207.9
2009-05-01,207.5
2009-06-01,207.6
2009-07-01,210.1
2009-08-01,209.9
2009-09-01,210.1
2009-10-01,210.5
2009-11-01,210.6
2009-12-01,210.5
2010-01-01,211.1
2010-02-01,211.3
2010-03-01,211.3
2010-04-01,211.4
2010-05-01,211.6
2010-06-01,211.4
2010-07-01,212.3
2010-08-01,212.5
2010-09-01,214.0
2010-10-01,214.5
2010-11-01,215.2
2010-12-01,215.2
2011-01-01,215.6
2011-02-01,216.1
2011-03-01,216.2
2011-04-01,216.6
2011-05-01,217.9
2011-06-01,217.9
2011-07-01,218.2
2011-08-01,218.6
2011-09-01,220.5
2011-10-01,221.0
2011-11-01,221.2
2011-12-01,221.2
2012-01-01,221.3
2012-02-01,221.5
2012-03-01,221.6
2012-04-01,221.9
2012-05-01,222.2
2012-06-01,222.3
2012-07-01,222.4
2012-08-01,222.6
2012-09-01,223.8
2012-10-01,223.8
2012-11-01,223.8
2012-12-01,223.6
2013-01-01,223.6
2013-02-01,223.9
2013-03-01,223.9
2013-04-01,224.1
2013-05-01,224.4
2013-06-01,224.5
2013-07-01,224.9
2013-08-01,224.9
2013-09-01,225.6
2013-10-01,225.9
2013-11-01,227.3
2013-12-01,227.7
2014-01-01,229.1
2014-02-01,229.5
2014-03-01,229.7
2014-04-01,230.0
2014-05-01,230.0
2014-06-01,230.0
2014-07-01,230.0
2014-08-01,230.2
2014-09-01,230.3
2014-10-01,230.4
2014-11-01,230.7
2014-12-01,231.0
2015-01-01,231.8
2015-02-01,231.9
2015-03-01,232.0
2015-04-01,232.0
2015-05-01,232.1
2015-06-01,231.9
2015-07-01,232.2
2015-08-01,232.1
2015-09-01,232.6
2015-10-01,233.4
2015-11-01,233.9
2015-12-01,234.0
2016-01-01,234.4
2016-02-01,234.7
2016-03-01,234.8
2016-04-01,234.9
2016-05-01,235.2
2016-06-01,235.4
2016-07-01,235.2
2016-08-01,235.2
2016-09-01,235.2
2016-10-01,236.0
2016-11-01,236.9
2016-12-01,237.1
2017-01-01,237.1
2017-02-01,237.1
2017-03-01,237.2
2017-04-01,237.3
2017-05-01,237.2
2017-06-01,237.5
2017-07-01,237.4
2017-08-01,237.7
2017-09-01,238.0
2017-10-01,238.0
2017-11-01,238.4
2017-12-01,238.4
2018-01-01,238.8
2018-02-01,238.5
2018-03-01,238.6
2018-04-01,238.2
2018-05-01,238.5
2018-06-01,238.9
2018-07-01,241.0
2018-08-01,241.1
2018-09-01,242.4
2018-10-01,243.5
2018-11-01,246.6
2018-12-01,247.0
2019-01-01,247.0
2019-02-01,247.1
2019-03-01,247.3
