DATE,WPU02550304
1991-06-01,100.0
1991-07-01,102.4
1991-08-01,102.4
1991-09-01,102.4
1991-10-01,101.7
1991-11-01,102.8
1991-12-01,102.5
1992-01-01,102.4
1992-02-01,101.7
1992-03-01,101.6
1992-04-01,101.5
1992-05-01,103.4
1992-06-01,103.4
1992-07-01,103.4
1992-08-01,103.6
1992-09-01,102.6
1992-10-01,102.7
1992-11-01,102.6
1992-12-01,102.7
1993-01-01,102.7
1993-02-01,102.8
1993-03-01,102.8
1993-04-01,103.0
1993-05-01,103.0
1993-06-01,106.7
1993-07-01,106.8
1993-08-01,106.9
1993-09-01,107.2
1993-10-01,108.3
1993-11-01,108.8
1993-12-01,108.9
1994-01-01,109.0
1994-02-01,110.0
1994-03-01,110.1
1994-04-01,110.3
1994-05-01,110.3
1994-06-01,110.2
1994-07-01,106.7
1994-08-01,106.3
1994-09-01,106.9
1994-10-01,106.3
1994-11-01,107.2
1994-12-01,106.8
1995-01-01,106.5
1995-02-01,107.4
1995-03-01,109.3
1995-04-01,114.8
1995-05-01,114.7
1995-06-01,114.6
1995-07-01,117.4
1995-08-01,117.8
1995-09-01,118.1
1995-10-01,118.7
1995-11-01,118.7
1995-12-01,118.1
1996-01-01,117.8
1996-02-01,117.6
1996-03-01,117.5
1996-04-01,117.5
1996-05-01,117.3
1996-06-01,118.4
1996-07-01,117.4
1996-08-01,117.6
1996-09-01,116.8
1996-10-01,115.2
1996-11-01,115.3
1996-12-01,115.5
1997-01-01,116.5
1997-02-01,119.2
1997-03-01,119.4
1997-04-01,119.2
1997-05-01,119.1
1997-06-01,118.9
1997-07-01,119.3
1997-08-01,118.7
1997-09-01,115.8
1997-10-01,114.6
1997-11-01,115.0
1997-12-01,115.0
1998-01-01,113.5
1998-02-01,113.7
1998-03-01,113.7
1998-04-01,114.4
1998-05-01,114.7
1998-06-01,115.1
1998-07-01,116.2
1998-08-01,117.3
1998-09-01,117.3
1998-10-01,115.8
1998-11-01,114.6
1998-12-01,114.1
1999-01-01,113.7
1999-02-01,113.8
1999-03-01,113.1
1999-04-01,112.5
1999-05-01,115.6
1999-06-01,115.9
1999-07-01,115.9
1999-08-01,115.0
1999-09-01,113.5
1999-10-01,113.8
1999-11-01,114.1
1999-12-01,112.3
2000-01-01,111.7
2000-02-01,111.5
2000-03-01,111.9
2000-04-01,112.4
2000-05-01,113.8
2000-06-01,113.4
2000-07-01,113.4
2000-08-01,112.3
2000-09-01,111.5
2000-10-01,111.9
2000-11-01,111.4
2000-12-01,111.2
2001-01-01,111.0
2001-02-01,109.6
2001-03-01,109.7
2001-04-01,109.0
2001-05-01,108.7
2001-06-01,108.7
2001-07-01,108.1
2001-08-01,108.6
2001-09-01,107.8
2001-10-01,108.7
2001-11-01,109.6
2001-12-01,109.3
2002-01-01,111.0
2002-02-01,112.0
2002-03-01,114.5
2002-04-01,114.4
2002-05-01,116.2
2002-06-01,120.3
2002-07-01,120.5
2002-08-01,119.7
2002-09-01,110.8
2002-10-01,111.5
2002-11-01,111.7
2002-12-01,113.5
2003-01-01,118.4
2003-02-01,120.9
2003-03-01,120.9
2003-04-01,120.1
2003-05-01,119.8
2003-06-01,120.6
2003-07-01,121.5
2003-08-01,121.6
2003-09-01,121.1
2003-10-01,124.5
2003-11-01,126.2
2003-12-01,127.5
2004-01-01,128.1
2004-02-01,128.7
2004-03-01,129.9
2004-04-01,130.3
2004-05-01,132.0
2004-06-01,131.8
2004-07-01,131.8
2004-08-01,132.9
2004-09-01,143.8
2004-10-01,147.1
2004-11-01,149.1
2004-12-01,161.3
2005-01-01,165.1
2005-02-01,171.7
2005-03-01,171.9
2005-04-01,177.4
2005-05-01,179.5
2005-06-01,182.4
2005-07-01,181.2
2005-08-01,181.7
2005-09-01,181.7
2005-10-01,181.9
2005-11-01,176.8
2005-12-01,167.5
2006-01-01,160.9
2006-02-01,148.1
2006-03-01,149.3
2006-04-01,148.5
2006-05-01,151.1
2006-06-01,163.5
2006-07-01,165.7
2006-08-01,164.3
2006-09-01,143.1
2006-10-01,140.3
2006-11-01,144.3
2006-12-01,147.4
2007-01-01,149.7
2007-02-01,152.4
2007-03-01,152.4
2007-04-01,151.2
2007-05-01,149.7
2007-06-01,147.5
2007-07-01,144.4
2007-08-01,145.9
2007-09-01,136.5
2007-10-01,144.0
2007-11-01,145.2
2007-12-01,146.6
2008-01-01,144.6
2008-02-01,143.0
2008-03-01,142.0
2008-04-01,142.4
2008-05-01,141.1
2008-06-01,140.3
2008-07-01,142.3
2008-08-01,145.1
2008-09-01,145.5
2008-10-01,144.4
2008-11-01,143.4
2008-12-01,142.5
2009-01-01,138.7
2009-02-01,137.2
2009-03-01,136.6
2009-04-01,136.5
2009-05-01,135.4
2009-06-01,135.6
2009-07-01,136.1
2009-08-01,136.6
2009-09-01,136.4
2009-10-01,138.1
2009-11-01,140.9
2009-12-01,144.6
2010-01-01,150.7
2010-02-01,153.6
2010-03-01,154.6
2010-04-01,157.3
2010-05-01,157.8
2010-06-01,154.0
2010-07-01,152.4
2010-08-01,151.5
2010-09-01,154.4
2010-10-01,157.4
2010-11-01,158.4
2010-12-01,160.5
2011-01-01,161.4
2011-02-01,171.2
2011-03-01,166.9
2011-04-01,164.1
2011-05-01,165.5
2011-06-01,167.4
2011-07-01,168.5
2011-08-01,170.0
2011-09-01,170.9
2011-10-01,173.1
2011-11-01,173.3
2011-12-01,175.2
2012-01-01,175.6
2012-02-01,178.3
2012-03-01,179.1
2012-04-01,181.5
2012-05-01,184.9
2012-06-01,185.3
2012-07-01,181.8
2012-08-01,180.2
2012-09-01,180.4
2012-10-01,187.5
2012-11-01,186.2
2012-12-01,186.8
2013-01-01,191.1
2013-02-01,194.6
2013-03-01,194.4
2013-04-01,194.2
2013-05-01,195.1
2013-06-01,201.2
2013-07-01,203.8
2013-08-01,204.0
2013-09-01,206.8
2013-10-01,210.1
2013-11-01,213.4
2013-12-01,213.2
2014-01-01,216.7
2014-02-01,215.8
2014-03-01,220.6
2014-04-01,220.8
2014-05-01,220.5
2014-06-01,220.8
2014-07-01,221.2
2014-08-01,221.9
2014-09-01,223.1
2014-10-01,229.4
2014-11-01,230.9
2014-12-01,230.0
2015-01-01,231.7
2015-02-01,236.2
2015-03-01,235.6
2015-04-01,238.0
2015-05-01,237.8
2015-06-01,238.1
