DATE,PCU3253203253201
2003-06-01,100.0
2003-07-01,100.0
2003-08-01,100.0
2003-09-01,100.0
2003-10-01,100.4
2003-11-01,101.2
2003-12-01,100.0
2004-01-01,100.3
2004-02-01,100.8
2004-03-01,100.8
2004-04-01,100.4
2004-05-01,100.6
2004-06-01,100.9
2004-07-01,101.7
2004-08-01,100.5
2004-09-01,100.7
2004-10-01,100.3
2004-11-01,100.3
2004-12-01,100.6
2005-01-01,102.1
2005-02-01,101.0
2005-03-01,101.2
2005-04-01,101.4
2005-05-01,101.4
2005-06-01,101.5
2005-07-01,101.8
2005-08-01,102.8
2005-09-01,103.3
2005-10-01,103.7
2005-11-01,103.9
2005-12-01,102.1
2006-01-01,102.4
2006-02-01,102.0
2006-03-01,101.3
2006-04-01,100.9
2006-05-01,103.0
2006-06-01,102.8
2006-07-01,103.0
2006-08-01,103.2
2006-09-01,103.7
2006-10-01,103.6
2006-11-01,105.0
2006-12-01,103.6
2007-01-01,103.9
2007-02-01,104.0
2007-03-01,104.9
2007-04-01,105.2
2007-05-01,104.9
2007-06-01,104.9
2007-07-01,105.0
2007-08-01,105.5
2007-09-01,105.4
2007-10-01,106.9
2007-11-01,107.5
2007-12-01,108.4
2008-01-01,109.8
2008-02-01,110.3
2008-03-01,111.6
2008-04-01,112.8
2008-05-01,114.2
2008-06-01,116.7
2008-07-01,119.1
2008-08-01,120.0
2008-09-01,122.1
2008-10-01,123.5
2008-11-01,126.1
2008-12-01,128.7
2009-01-01,128.4
2009-02-01,129.5
2009-03-01,130.4
2009-04-01,131.4
2009-05-01,131.0
2009-06-01,125.6
2009-07-01,125.6
2009-08-01,121.4
2009-09-01,122.3
2009-10-01,122.7
2009-11-01,126.4
2009-12-01,127.3
2010-01-01,116.3
2010-02-01,115.8
2010-03-01,115.3
2010-04-01,115.8
2010-05-01,115.8
2010-06-01,115.3
2010-07-01,115.7
2010-08-01,115.5
2010-09-01,115.8
2010-10-01,115.1
2010-11-01,113.9
2010-12-01,112.9
2011-01-01,113.1
2011-02-01,113.1
2011-03-01,113.2
2011-04-01,113.1
2011-05-01,112.9
2011-06-01,112.4
2011-07-01,113.2
2011-08-01,113.6
2011-09-01,114.8
2011-10-01,116.1
2011-11-01,115.9
2011-12-01,116.3
2012-01-01,117.3
2012-02-01,120.4
2012-03-01,120.5
2012-04-01,119.4
2012-05-01,120.3
2012-06-01,121.4
2012-07-01,121.4
2012-08-01,121.6
2012-09-01,121.9
2012-10-01,121.9
2012-11-01,123.4
2012-12-01,122.4
2013-01-01,121.9
2013-02-01,122.1
2013-03-01,122.1
2013-04-01,121.8
2013-05-01,122.1
2013-06-01,121.5
2013-07-01,121.6
2013-08-01,121.7
2013-09-01,122.5
2013-10-01,124.1
2013-11-01,124.0
2013-12-01,123.8
2014-01-01,124.0
2014-02-01,124.3
2014-03-01,123.7
2014-04-01,122.6
2014-05-01,122.7
2014-06-01,122.7
2014-07-01,122.6
2014-08-01,123.4
2014-09-01,124.5
2014-10-01,124.6
2014-11-01,124.7
2014-12-01,124.7
2015-01-01,121.7
2015-02-01,121.7
2015-03-01,121.7
2015-04-01,121.7
2015-05-01,121.5
2015-06-01,121.5
2015-07-01,122.1
2015-08-01,122.2
2015-09-01,122.2
2015-10-01,122.4
2015-11-01,121.9
2015-12-01,121.9
2016-01-01,122.1
2016-02-01,122.0
2016-03-01,122.0
2016-04-01,121.9
2016-05-01,121.9
2016-06-01,121.9
2016-07-01,123.0
2016-08-01,120.7
2016-09-01,118.2
2016-10-01,118.2
2016-11-01,116.5
2016-12-01,115.5
2017-01-01,113.7
2017-02-01,120.7
2017-03-01,120.7
2017-04-01,120.7
2017-05-01,116.9
2017-06-01,119.6
2017-07-01,117.4
2017-08-01,117.6
2017-09-01,119.8
2017-10-01,120.2
2017-11-01,124.2
2017-12-01,128.7
2018-01-01,127.7
2018-02-01,128.3
2018-03-01,133.0
2018-04-01,132.2
2018-05-01,130.7
2018-06-01,130.7
2018-07-01,126.9
2018-08-01,128.7
2018-09-01,123.8
2018-10-01,122.8
2018-11-01,136.2
2018-12-01,136.4
2019-01-01,139.5
2019-02-01,137.2
2019-03-01,135.9
2019-04-01,135.6
2019-05-01,135.8
2019-06-01,138.1
2019-07-01,140.2
2019-08-01,129.9
2019-09-01,120.1
2019-10-01,127.8
2019-11-01,129.4
2019-12-01,126.8
2020-01-01,126.8
2020-02-01,126.8
2020-03-01,124.4
2020-04-01,124.5
2020-05-01,126.3
2020-06-01,126.9
2020-07-01,126.9
2020-08-01,126.9
2020-09-01,126.9
2020-10-01,125.2
2020-11-01,128.0
2020-12-01,127.1
2021-01-01,126.8
2021-02-01,122.0
2021-03-01,126.6
2021-04-01,128.4
2021-05-01,127.2
2021-06-01,132.7
2021-07-01,130.523
2021-08-01,133.282
2021-09-01,134.758
2021-10-01,141.290
2021-11-01,141.290
2021-12-01,141.290
2022-01-01,145.137
2022-02-01,145.137
2022-03-01,145.137
2022-04-01,188.014
2022-05-01,184.418
2022-06-01,189.474
2022-07-01,190.987
2022-08-01,191.692
2022-09-01,181.801
2022-10-01,167.761
2022-11-01,172.453
2022-12-01,168.727
2023-01-01,164.550
2023-02-01,166.727
2023-03-01,168.508
2023-04-01,159.464
2023-05-01,155.468
2023-06-01,149.405
2023-07-01,147.337
2023-08-01,145.549
2023-09-01,138.975
2023-10-01,139.012
2023-11-01,138.055
2023-12-01,138.776
2024-01-01,138.277
2024-02-01,138.221
